target,group,tier,train_rows,test_rows,features,mae,r2,dir_accuracy,log_transform,trained_at
H,Batters,HIGH,144319,16036,38,0.6802,0.0271,66.81,False,2026-06-16 00:15
TB,Batters,HIGH,144319,16036,38,1.2998,0.0233,39.95,False,2026-06-16 00:16
HR,Batters,LOW,144319,16036,38,0.1763,0.0071,13.08,True,2026-06-16 00:16
RBI,Batters,MEDIUM,144319,16036,38,0.6076,0.0092,29.48,False,2026-06-16 00:17
R,Batters,MEDIUM,144319,16036,38,0.5549,0.0223,38.32,False,2026-06-16 00:17
SO,Batters,HIGH,144319,16036,38,0.6641,0.0507,65.75,False,2026-06-16 00:18
BB,Batters,LOW,144319,16036,38,0.4161,0.0116,29.51,True,2026-06-16 00:18
K,Pitchers,HIGH,52222,5803,35,1.0063,0.578,54.13,False,2026-06-16 00:18
ER,Pitchers,MEDIUM,52222,5803,35,0.8477,0.2623,41.48,True,2026-06-16 00:19
OUTS,Pitchers,HIGH,52222,5803,35,1.5088,0.8362,64.55,False,2026-06-16 00:19
