Target,MAE,R2,Directional_Accuracy,Legacy_Global_Accuracy,Log_Transformed,Last_Updated
PTS,4.764,0.4617,60.24,73.97,False,2026-05-28 00:00:21
REB,1.9438,0.4111,58.03,71.2,False,2026-05-28 00:00:33
AST,1.4287,0.4644,55.61,72.14,False,2026-05-28 00:00:43
FG3M,0.9426,0.24,54.61,67.0,True,2026-05-28 00:00:55
FG3A,1.556,0.5137,54.3,74.58,False,2026-05-28 00:01:10
BLK,0.5416,0.164,39.61,35.08,True,2026-05-28 00:01:18
STL,0.7744,0.021,61.12,76.21,True,2026-05-28 00:01:25
TOV,0.9563,0.2028,62.01,66.81,True,2026-05-28 00:01:38
PRA,6.0936,0.514,60.93,75.69,False,2026-05-28 00:01:55
PR,5.6238,0.47,60.68,75.31,False,2026-05-28 00:02:10
PA,5.2121,0.5223,60.45,75.0,False,2026-05-28 00:02:27
RA,2.6639,0.4286,58.65,72.93,False,2026-05-28 00:02:42
SB,0.9817,0.0674,62.45,61.74,True,2026-05-28 00:02:49
FGM,1.834,0.4122,58.56,72.87,False,2026-05-28 00:03:02
FGA,2.7878,0.5699,60.64,79.08,False,2026-05-28 00:03:15
FTM,1.4777,0.3473,50.65,62.67,False,2026-05-28 00:03:25
FTA,1.7689,0.3593,53.25,70.81,False,2026-05-28 00:03:35
FPTS,7.7766,0.4581,61.29,73.89,False,2026-05-28 00:03:55
PTS_1H,3.1206,0.3526,58.91,69.42,False,2026-05-28 00:04:06
PRA_1H,3.8414,0.4324,59.95,73.23,False,2026-05-28 00:04:23
FPTS_1H,4.9259,0.3787,60.96,71.92,False,2026-05-28 00:04:35
